# x_m,y_m,w_tr_right_m,w_tr_left_m
41.5500,-133.5000,0.8062,0.8062
41.3000,-132.4500,0.7500,0.7500
41.3000,-131.4000,0.7500,0.7500
41.5000,-130.3500,0.8296,0.8296
42.1500,-129.3000,0.8259,0.8259
43.2000,-128.3000,0.8124,0.8124
44.2500,-127.6000,0.8308,0.8308
45.3000,-126.9500,0.8062,0.8062
46.3500,-126.2000,0.8000,0.8000
47.4000,-125.4500,0.8404,0.8404
48.4500,-124.7000,0.8124,0.8124
49.5000,-123.9500,0.8259,0.8259
50.5500,-123.1500,0.8124,0.8124
51.5000,-122.1500,0.8124,0.8124
52.0000,-121.1000,0.8112,0.8112
52.1500,-120.0500,0.8000,0.8000
52.1000,-119.0000,0.8050,0.8050
51.8500,-117.9500,0.8308,0.8308
51.4000,-116.9000,0.7849,0.7849
51.0000,-115.8500,0.8124,0.8124
50.5000,-114.8000,0.7849,0.7849
50.1000,-113.7500,0.8124,0.8124
49.7000,-112.7000,0.7862,0.7862
49.2500,-111.6500,0.8062,0.8062
48.8000,-110.6000,0.8124,0.8124
48.3500,-109.5500,0.8112,0.8112
48.0000,-108.5000,0.8124,0.8124
47.6000,-107.4500,0.8124,0.8124
47.2000,-106.4000,0.8124,0.8124
46.8500,-105.3500,0.7823,0.7823
46.5500,-104.3000,0.7962,0.7962
46.2500,-103.2500,0.7823,0.7823
46.0000,-102.2000,0.8198,0.8198
45.7500,-101.1500,0.8308,0.8308
45.5000,-100.1000,0.8050,0.8050
45.2000,-99.0500,0.8124,0.8124
45.0000,-98.0000,0.8012,0.8012
44.7000,-96.9500,0.8198,0.8198
44.4000,-95.9000,0.7962,0.7962
44.1500,-94.8500,0.8012,0.8012
43.9500,-93.8000,0.7849,0.7849
43.6500,-92.7500,0.8112,0.8112
43.3500,-91.7000,0.7708,0.7708
43.1500,-90.6500,0.8198,0.8198
42.8500,-89.6000,0.7962,0.7962
42.6500,-88.5500,0.7962,0.7962
